音檔,來源,漢字,羅馬字,長短
ImTong/SuiSiann_0914.wav,角花仔佮素花仔,角花仔看素花仔，人伊一身軀白sut-sut，予主人阿妙共tshuā出tshuā入，足目空赤的，一時的起妒賢，伊就想一齣奸詭步，欲予素花仔好看。,"Kak-hue-á khuànn sòo-hue-á, lâng i tsi̍t sing-khu pe̍h-sut-sut, hōo tsú-lâng A-biāu kā tshuā-tshut-tshuā-ji̍p, tsiok ba̍k-khang-tshiah--ê, tsi̍t-sî ê khí-tòo-hiân, i tio̍h siūnn tsi̍t tshut kan-kuí-pōo, beh hōo sòo-hue-á hó-khuànn.",16.73
ImTong/SuiSiann_0915.wav,角花仔佮素花仔,佇洗衫機內底，伊就下性命弄家己的衫佮裙，予色水攏吐吐出來，順著衫槽khut仔tih轉踅的當中，七噴八噴，三𪐞四𪐞，𪐞甲素花仔規身軀全是五彩色的、花巴哩貓。,"Tī sé-sann-ki lāi-té, i tō hē-sìnn-miā lāng ka-tī ê sann kah kûn, hōo sik-tsuí lóng thòo-thòo--tshut-lâi, sūn-tio̍h sann-tsô-khut-á tih tńg-se̍h ê tang-tiong, tshit-phùn-peh-phùn, sann-tòo-sì-tòo, tòo kah sòo-hue-á kui-sing-khu tsuân sī gōo-tshái-sik--ê, hue-pa-li-niau.",8.18
ImTong/SuiSiann_0916.wav,角花仔佮素花仔,素花仔苦苦共哀求，講伊莫遐無天良；毋通做彼款損命命、遐損蕩人的惡毒步、失德代。,"Sòo-hue-á khóo-khóo kā ai-kiû, kóng i mài hiah bô thian-liông; m̄-thang tsò hit khuán sńg-miā-miā, hiah sńg-tn̄g--lâng ê ok-to̍k-pōo, sit-tik-tāi.",11.33
ImTong/SuiSiann_0917.wav,角花仔佮素花仔,伊愈咻喝、角花仔愈刁意故；噴甲素花仔全身無一跡是白的，按呢才露出ka̋ng創贏的奸雄笑……,"I lú hiu-huah, kak-hue-á lú thiau-ì-kòo; phùn kah sòo-hue-á tsuân-sin bô tsi̍t jiah sī pe̍h--ê, án-ne tsiah lōo-tshut ka̋ng tshòng iânn ê kan-hiông-tshiò...",11.9
ImTong/SuiSiann_0918.wav,角花仔佮素花仔,可憐代啊可憐代！素花仔這陣予𪐞甲無成一領衫仔樣，伊那看家己那傷心；現不現，屈佇槽仔內底，叫天、天袂應，叫地、地袂答，煞一直大哭大吼。,"Khó-liân-tāi--ah khó-liân-tāi! Sòo-hue-á tsit-tsūn hōo tòo kah bô sîng tsi̍t niá sann-á-iūnn, i ná khuànn ka-tī ná siong-sim; hiān put hiān, khut tī tsô-á lāi-té, kiò thinn, thinn bē ìn, kiò tē, tē bē tap, suah it-ti̍t tuā khàu tuā háu.",19.28
ImTong/SuiSiann_0919.wav,角花仔佮素花仔,阿妙共in洗好勢，khuáinn素花仔哪會變甲花巴哩貓，就誠受氣，隨共擲蹛糞埽桶lín。,"A-biāu kā in sé hó-sè, khuáinn sòo-hue-á nà ē piàn kah hue-pa-li-niau, tō tsiânn siū-khì, suî kā tàn tuà pùn-sò-tháng--lín.",10.04
ImTong/SuiSiann_0920.wav,角花仔佮素花仔,益角花仔看一下暢甲掠袂牢，咧想講：「Ua̋！這聲予我創一下有夠媠氣的，這步用了袂bái，此去阿妙就干焦佮意我一个啦謼！哈、哈、哈……」。,"Iah kak-hue-á khuànn tsi̍t-ē thiòng-kah lia̍h bē-tiâu, tih siūnn-kóng: ""Ua̋! Tsit-siann hōo guá tshòng tsi̍t-ē ū-kàu suí-khuì--ê, tsit pōo iōng-liáu bē bái, tshú khì A-biāu tō kan-na kah-ì guá tsi̍t ê--lah--hooh! Hah, hah, hah..."".",7.19
ImTong/SuiSiann_0921.wav,角花仔佮素花仔,阿妙紲落又閣共角花仔搦起來，面仔齊慄色，大叫一聲：「Ha̋nn！今去了了矣，連這領也退色？退甲袂孝孤得……，鮮豔的色水攏無去矣，我挃欲創啥？」講煞，也順紲共伊擲落去糞埽桶裡。,"A-biāu suà-lo̍h iū koh kā kak-hue-á la̍k--khí-lâi, bīn-á tsiâu lik-sik, tuā kiò tsi̍t siann: ""Ha̋nn! tann khì-liáu-liáu--ah, liân tsit niá iā thè-sik? Thè kah bē-hàu-koo-tsit..., sian-iām ê sik-tsuí lóng bô--khì--ah, guá ti̍h beh tshòng siannh?"" Kóng-suah, iā sūn-suà kā i tàn lo̍h-khì pùn-sò-tháng--lí.",23.6
ImTong/SuiSiann_0922.wav,角花仔佮素花仔,角花仔的奸笑聲無去矣，一个面若鳥胘咧，現此時全身攏痠疼，大概吐傷濟的款，皮肉變甲白殕白殕，一絲仔氣力都無，徛袂牢地、軟荍荍䖙佇桶仔內。,"Kak-hue-á ê kan-tshiò-siann bô--khì--ah, tsi̍t ê bīn nā tsiáu-kiān--leh, hiān-tshú-sî tsuân-sin lóng sng-thiànn, tāi-khài thóo siunn tsē ê khuán, phê-bah piàn kah pe̍h-phú-pe̍h-phú, tsi̍t-si-á khuì-la̍t to bô, khiā bē tiâu tē, nńg-siô-siô the tī tháng-á-lāi.",21.74
ImTong/SuiSiann_0923.wav,角花仔佮素花仔,益素花仔伊nē？人伊腹腸誠有，隨踏倚去共捋胸坎，掠筋路，按呢才沓沓仔得定落來。,"Iah sòo-hue-á i nē? Lâng i pak-tn̂g tsiânn ū, suî ta̍h uá khì kā lua̍h hing-khám, lia̍h kin-lōo, án-ne tsiah ta̍uh-ta̍uh-á tik-tiānn--lo̍h-lâi.",11.39
ImTong/SuiSiann_0924.wav,角花仔佮素花仔,元氣有ā！喘氣順ā！這當陣，角花仔真反悔對伊下毒手，一直共會失禮、求寬諒，兩个才握手講和。,"Guân-khì ū ā! Tshuán-khuì sūn ā! Tsit tang-tsūn, kak-hue-á tsin huán-hué tuì i hā to̍k-tshiú, it-ti̍t kā huē-sit-lé, kiû khuan-liōng, nn̄g ê tsiah at-tshiú kóng-hô.",14.99
ImTong/SuiSiann_0925.wav,角花仔佮素花仔,隔轉工下晝，in同齊hông捙到糞埽場裡。下晡時仔，日頭炎熱，臭味滿四界。,"Keh-tńg-kang ē-tàu, in tâng-tsê hông tshia kàu pùn-sò-tiûnn--lí. Ē-poo-sî-á, ji̍t-thâu iām-jua̍h, tshàu-bī muá-sì-kuè.",11.18
ImTong/SuiSiann_0926.wav,角花仔佮素花仔,在場的害物仔，攏是hua̋i癩ko爛癆、生頭發尾、瘸跤破相、歪膏揤斜，看著活欲起雞母皮……,"Tsāi-tiûnn ê hāi-mih-á, lóng sī hua̋i thái-ko-nuā-lô, senn-thâu-huat-bué, khuê-kha-phuà-siùnn, uai-ko-tshi̍h-tshua̍h, khuànn tio̍h ua̍h-beh khí ke-bó-phuê...",12.29
ImTong/SuiSiann_0927.wav,角花仔佮素花仔,蹛這款的所在有夠齷齪，無破病嘛會硬去予臭味激死。,"Tuà tsit khuán ê sóo-tsāi ū-kàu ak-tsak, bô phuà-pēnn mā ē ngē khì hōo tshàu-bī kik--sí.",7.13
ImTong/SuiSiann_0928.wav,角花仔佮素花仔,佳哉仔佳哉，到甲欲暗仔，有一个收歹銅舊錫的阿姨，看in猶閣媠媠咧，就隨共抾走。,"Ka-tsài-á-kai-tsài, kàu kah beh-àm-á, ū tsi̍t ê siu phái-tâng-kū-siah ê a-î, khuànn in iáu-koh suí-suí--leh, tō suî kā khioh-tsáu.",9.95
ImTong/SuiSiann_0929.wav,角花仔佮素花仔,這个有疼心的阿姨，閣共in重洗身軀一擺，曝焦了後，提熨斗共熨甲像新的仝款，精差色水有較失。,"Tsit ê ū thiànn-sim ê a-î, koh kā in tîng sé-sing-khu tsi̍t pái, pha̍k ta liáu-āu, the̍h ut-táu kā ut kah tshiūnn sin--ê kāng-khuán, tsing-tsha sik-tsuí ū khah sit.",12.26
ImTong/SuiSiann_0930.wav,角花仔佮素花仔,當伊共𪜶提予家己的查某囝的時陣，是歡喜甲那行那蹌跤……，益角花仔佮素花仔，兩个一下相對看，煞規面笑吻吻的花蕊，一蕊一蕊一直浮出來……,"Tng i kā in the̍h hōo ka-tī ê tsa-bóo-kiánn ê sî-tsūn, sī huann-hí kah ná kiânn ná tshíng-kha..., iah kak-hue-á kah sòo-hue-á, nn̄g ê tsi̍t-ē sio tuì-khuànn, suah kui bīn tshiò-bún-bún ê hue-luí, tsi̍t-luí tsi̍t-luí it-ti̍t phû--tshut-lâi...",17.42
ImTong/SuiSiann_0931.wav,賣圓仔的神仙,賣圓仔的神仙，林麗黛譯寫。,"Bē înn-á ê sîn-sian, Lîm Lē-tāi i̍k-siá.",4.4
ImTong/SuiSiann_0932.wav,賣圓仔的神仙,海翁台語文學月刊第一百空二期,Hái-ang Tâi-gí Bûn-ha̍k Gue̍h-khan tē tsi̍t-pah khòng-jī kî,5.18
ImTong/SuiSiann_0933.wav,賣圓仔的神仙,佇高雄左營區有一粒山，看起來誠特別。,"Tī Ko-hiông Tsó-iânn-khu ū tsi̍t lia̍p suann, khuànn--khí-lâi tsiânn ti̍k-pia̍t.",5.42
ImTong/SuiSiann_0934.wav,賣圓仔的神仙,山的倒手爿彼一半和一般的山無啥物各樣，毋過正手爿彼一半，就像予刀仔削過的形，減一大半。,"Suann ê tò-tshiú-pîng hit tsi̍t-puànn hām it-puann ê suann bô-siánn-mih koh-iūnn, m̄-koh tsiànn-tshiú-pîng hit tsi̍t-puànn, tō tshiūnn hōo to-á siah--kuè ê hîng, kiám tsi̍t tuā puànn.",12.71
ImTong/SuiSiann_0935.wav,賣圓仔的神仙,這粒山，就親像賰一半的閘屏咧，干焦有才調共半爿的天閘牢咧，所以逐家攏共這粒山號做「半屏山」。,"Tsit lia̍p suann, tō tshin-tshiūnn tshun tsi̍t-puànn ê tsa̍h-pîn--leh , kan-ta ū-tsâi-tiāu kā puànn-pîng ê thinn tsa̍h-tiâu--leh, sóo-í ta̍k-ke lóng kā tsit lia̍p suann hō-tsò ""Puànn-pîng-suann"".",13.04
ImTong/SuiSiann_0936.wav,賣圓仔的神仙,半屏山是按怎干焦賰半爿咧？伊另外彼一半是走對佗位去咧？當地有一个故事流傳落來。,Puànn-pîng-suann sī-án-tsuánn kan-tann tshun puànn-pîng--leh? I līng-guā hit tsi̍t-puànn sī tsáu uì tó-uī khì--leh? Tong-tē ū tsi̍t ê kòo-sū liû-thuân--lo̍h-lâi.,11.75
ImTong/SuiSiann_0937.wav,賣圓仔的神仙,這个傳說是佮八仙當中的漢鍾離有關係，是漢仙人收徒弟的經過。,"Tsit ê thuân-suat sī kah pat-sian tang-tiong ê Hàn Tsing-lî ū kuan-hē, sī Hàn-sian-jîn siu tôo-tē ê king-kuè.",7.97
ImTong/SuiSiann_0938.wav,賣圓仔的神仙,聽講代誌的經過是按呢，漢鍾離有一个誠巧的徒弟，伊誠gâu寫文章，武功嘛誠厲害。,"Thiann-kóng tāi-tsì ê king-kuè sī án-ne, Hàn Tsing-lî ū tsi̍t ê tsiânn khiáu ê tôo-tē, i tsiânn gâu siá bûn-tsiunn, bú-kong mā tsiânn lī-hāi.",11.33
ImTong/SuiSiann_0939.wav,賣圓仔的神仙,上難得的是，伊一絲仔都袂囂俳，對人誠有禮貌，所以漢鍾離誠疼這个徒弟。,"Siōng lân-tit--ê sī, i tsi̍t-si-á to bē hiau-pai, tuì lâng tsiânn ū lé-māu, sóo-í Hàn Tsing-lî tsiânn thiànn tsit ê tôo-tē.",10.67
ImTong/SuiSiann_0940.wav,賣圓仔的神仙,毋過誠可惜，這个徒弟致著一種怪病，仙醫都醫袂好，煞七少年八少年就來過身去。,"M̄-koh tsiânn khó-sioh, tsit ê tôo-tē tì-tio̍h tsi̍t tsióng kuài pēnn, sian-i to i bē hó, suah tshit siàu-liân peh siàu-liân tō lâi kuè-sin--khì.",11.63
ImTong/SuiSiann_0941.wav,賣圓仔的神仙,漢鍾離看家己上疼的徒弟就按呢離開世間，心肝頭是親像刀咧割咧。,"Hàn Tsing-lî khuànn ka-tī siōng thiànn ê tôo-tē tō án-ne lī-khui sè-kan, sim-kuann-thâu sī tshin-tshiūnn to leh kuah--leh.",9.44
ImTong/SuiSiann_0942.wav,賣圓仔的神仙,過一站仔時間，漢鍾離決定欲轉來人間，欲閣去走揣一个條直善良的好人，欲收伊做徒弟。,"Kuè tsi̍t-tsām-á sî-kan, Hàn Tsing-lî kuat-tīng beh tńg-lâi jîn-kan, beh koh khì tsáu-tshuē tsi̍t ê tiâu-ti̍t siān-liông ê hó-lâng, beh siu i tsò tôo-tē.",12.2
ImTong/SuiSiann_0943.wav,賣圓仔的神仙,漢鍾離佇雲尪面頂相來相去，發現人間有某一个島嶼，不止仔美麗。,"Hàn Tsing-lî tī hûn-ang bīn-tíng siòng lâi siòng khì, huat-hiān lîn-kan ū bóo tsi̍t ê tó-sū, put-tsí-á bí-lē.",9.71
ImTong/SuiSiann_0944.wav,賣圓仔的神仙,漢鍾離心內咧想講：「竟然有遮爾仔媠的島嶼，山嶺青lìng-lìng，溪水清清清。佇這个好所在，我定著會當揣著一个仔好徒弟。」,"Hàn Tsing-lî sim-lāi leh siūnn-kóng: ""Kìng-liân ū tsiah-nī-á suí ê tó-sū, suann-niá tshenn-lìng-lìng, khe-tsuí tshing-tshing-tshing. Tī tsit ê hó sóo-tsāi, guá tiānn-tio̍h ē-tàng tshuē-tio̍h tsi̍t-ê-á hó tôo-tē.""",16.91
ImTong/SuiSiann_0945.wav,賣圓仔的神仙,漢鍾離發現的這个島嶼，就是咱這馬徛起的臺灣島。伊對雲尪面頂寬寬仔跳落來，拄拄仔好降落佇現此時高雄的左營。,"Hàn Tsing-lî huat-hiān ê tsit ê tó-sū, tō sī lán tsit-má khiā-khí ê Tâi-uân-tó. I uì hûn-ang bīn-tíng khuann-khuann-á thiàu--lo̍h-lâi, tú-tú-á-hó kàng-lo̍h tī hiān-tshú-sî Ko-hiông ê Tsó-iânn.",15.29
ImTong/SuiSiann_0946.wav,賣圓仔的神仙,漢鍾離咧想講：「欲對佗位開始走揣咧？」,"Hàn Tsing-lî leh siūnn-kóng: ""Beh uì tó-uī khai-sí tsáu-tshuē--leh?""",5.33
ImTong/SuiSiann_0947.wav,賣圓仔的神仙,「若準欲揣一个心肝善良閣老實可靠的徒弟，定著愛先試探看伊的心肝好無？」伊心內那拍算那咧相四箍圍仔的環境。,"""Nā-tsún beh tshuē tsi̍t ê sim-kuann siān-liông koh láu-si̍t khó-khò ê tôo-tē, tiānn-tio̍h ài sing tshì-thàm khuànn i ê sim-kuann hó--bô?"" I sim-lāi ná phah-sǹg ná leh siòng sì-khoo-uî-á ê khuân-kíng.",14.78
ImTong/SuiSiann_0948.wav,賣圓仔的神仙,漢鍾離擔頭共面頭前彼粒山看看、相相咧，隨予伊想著一个好步數。,"Hàn Tsing-lî tann thâu kā bīn-thâu-tsîng hit lia̍p suann khuànn-khuànn, siòng-siòng--leh, suî hōo i siūnn-tio̍h tsi̍t ê hó pōo-sòo.",8.66
ImTong/SuiSiann_0949.wav,賣圓仔的神仙,漢鍾離共伊隨身紮的一支葵扇提出來，略略仔共彼粒山擛擛咧，山頂尾溜隨雄雄起一陣風，風真透。,"Hàn Tsing-lî kā i suî-sin tsah ê tsi̍t ki khuê-sìnn the̍h--tshut-lâi, lio̍h-lio̍h-á kā hit lia̍p suann ia̍t-ia̍t--leh, suann-tíng bué-liu suî hiông-hiông khí tsi̍t tsūn hong, hong tsin thàu.",13.31
ImTong/SuiSiann_0950.wav,賣圓仔的神仙,大風一下過，山正手爿的塗就規片崩落來。,"Tuā-hong tsi̍t-ē kè, suann tsiànn-tshiú-pîng ê thôo tō kui phiàn pang--lo̍h-lâi.",6.59
ImTong/SuiSiann_0951.wav,賣圓仔的神仙,本成好勢好勢的彼粒山，這馬看起來就親像予刀仔削去一大塊的形。,"Pún-tsiânn hó-sè-hó-sè ê hit lia̍p suann, tsit-má khuànn--khí-lâi tō tshin-tshiūnn hōo to-á siah-khì tsi̍t-tuā-tè ê hîng.",8.39
ImTong/SuiSiann_0952.wav,賣圓仔的神仙,漢鍾離閣用葵扇共崩落來的彼堆塗擛擛咧，彼堆塗竟然變成一粒仔一粒的圓仔。,"Hàn Tsing-lî koh-īng khuê-sìnn kā pang--lo̍h-lâi ê hit tui thôo ia̍t-ia̍t--leh, hit tui thôo kìng-jiân piàn-sîng tsi̍t-lia̍p-á tsi̍t-lia̍p ê înn-á.",9.83
ImTong/SuiSiann_0953.wav,賣圓仔的神仙,紲落來，漢鍾離共家己打扮做賣圓仔的老歲仔，共擔仔擔咧，佇山邊開始賣圓仔。,"Suà--lo̍h-lâi, Hàn Tsing-lî kā ka-tī tánn-pān tsò bē înn-á ê lāu-hè-á, kā tann-á tann--leh, tī suann-pinn khai-sí bē înn-á.",10.4
ImTong/SuiSiann_0954.wav,賣圓仔的神仙,「來喔！好食的圓仔喔！麻仔芳絳絳、紅豆仔甜粅粅，緊來買好食的圓仔喔！」漢鍾離大聲咧喝賣。,"""Lâi--ooh! Hó tsia̍h ê înn-á--ooh! Muâ-á phang-kòng-kòng, âng-tāu-á tinn-but-but, kín lâi bé hó tsia̍h ê înn-á--ooh!"" Hàn Tsing-lî tuā-siann leh huah-bē.",11.72
ImTong/SuiSiann_0955.wav,賣圓仔的神仙,「芳閣大粒的圓仔喔！一粒一角銀，兩粒兩角銀，三粒食免錢喔！」喝賣聲吸引一寡行路人的注意。,"""phang koh tuā-lia̍p ê înn-á--ooh! Tsi̍t lia̍p tsi̍t kak gîn, nn̄g lia̍p nn̄g kak gîn, sann lia̍p tsia̍h bián-tsînn--ooh!"" Huah-bē-siann khip-ín tsi̍t-kuá kiânn-lōo-lâng ê tsù-ì.",11.84
ImTong/SuiSiann_0956.wav,賣圓仔的神仙,「呔會有遮爾仔好空的代誌？誠實是愛講耍笑！」,"""Thài ē ū tsiah-nī-á hó-khang ê tāi-tsì? Tsiânn-si̍t sī ài kóng-sńg-tshiò!""",5.12
ImTong/SuiSiann_0957.wav,賣圓仔的神仙,「著ā！呔會有可能食免錢啦！」,"""Tio̍h ā! Thài ē ū khó-lîng tsia̍h bián-tsînn--lah!""",3.26
ImTong/SuiSiann_0958.wav,賣圓仔的神仙,「這个老歲仔呔會遮爾戇啦？」,"""Tsit ê lāu-huè-á thài ē tsiah-nī gōng--lah?""",2.93
ImTong/SuiSiann_0959.wav,賣圓仔的神仙,「無的確伊起痟矣！」,"""Bô-tik-khak i khí-siáu--ah!""",2.12
ImTong/SuiSiann_0960.wav,賣圓仔的神仙,「Ê？呔會從來毋捌看過這个老歲仔？」,"""Ê? Thài ē tsiông-lâi m̄ bat khuànn-kuè tsit ê lāu-huè-á?""",3.86
ImTong/SuiSiann_0961.wav,賣圓仔的神仙,「圓仔應該無問題乎？」,"""Înn-á ing-kai bô būn-tê--honnh?""",2.36
ImTong/SuiSiann_0962.wav,賣圓仔的神仙,圍倚來看的人愈來愈濟，逐家互相討論這件代誌，毋過無半个人相信漢鍾離講的話，嘛無人開喙講欲買圓仔。,"Uî uá-lâi khuànn ê lâng lú lâi lú tsuē, ta̍k-ke hōo-siong thó-lūn tsit kiānn tāi-tsì, m̄-koh bô puànn ê lâng siong-sìn Hàn Tsing-lî kóng--ê uē, mā bô lâng khui tshuì kóng beh bé înn-á.",14.69
ImTong/SuiSiann_0963.wav,賣圓仔的神仙,平常時仔就較痟貪的大頭仔王的，伊共漢鍾離講：「頭家，你賣的圓仔敢誠實食三粒就免錢？你敢會唬阮？」,"Pîng-siông-sî-á tō khah siáu-tham ê tuā-thâu-á Ông--ê, i kā Hàn Tsing-lî kóng: ""Thâu-ke, lí bē--ê înn-á kánn tsiânn-si̍t tsia̍h sann lia̍p tō bián-tsînn? Lí kám ē hóo--gún?""",13.25
ImTong/SuiSiann_0964.wav,賣圓仔的神仙,漢鍾離共應講：「我這个人啊！上討厭別人無老實囉！所以嘛袂愛騙人。閣再講做生理呔會使無守信用咧？」,"Hàn Tsing-lî kā ìn kóng: ""guá tsit ê lâng--ah! Siōng thó-ià pa̍t-lâng bô láu-si̍t--looh! Sóo-í mā bē ài phiàn--lâng. Koh-tsài kóng tsò sing-lí thài ē-sái bô siú sìn-iōng--leh?""",12.68
ImTong/SuiSiann_0965.wav,賣圓仔的神仙,大頭仔王的心內咧想講，這个老歲仔無悾抑無戇，講話的形嘛無像咧滾耍笑，就共講：「頭家！予我三粒圓仔食看覓咧！」,"Tuā-thâu-á Ông--ê sim-lāi leh siūnn-kóng, tsit ê lāu-huè-á bô khong a̍h bô gōng, kóng-uē ê hîng mā bô tshiūnn leh kún-sńg-tshiò, tō kā kóng: ""thâu-ke! Hōo guá sann lia̍p înn-á tsia̍h khuànn-māi--leh!""",15.32
ImTong/SuiSiann_0966.wav,賣圓仔的神仙,漢鍾離的圓仔親像雞卵遐爾大圈，大頭仔王的搩兩粒落去，腹肚已經有小可仔飽矣。,"Hàn Tsing-lî ê înn-á tshin-tshiūnn ke-nn̄g hiah-nī tuā khian, tuā-thâu-á Ông--ê kiat nn̄g lia̍p lo̍h-khì, pak-tóo í-king ū sió-khuá-á pá--ah.",10.52
ImTong/SuiSiann_0967.wav,賣圓仔的神仙,伊共腹肚挲挲咧，閣繼續食甲窸窣叫，,"I kā pak-tóo so-so--leh, koh kè-sio̍k tsia̍h kah si̍h-su̍t-kiò,",4.67
ImTong/SuiSiann_0968.wav,賣圓仔的神仙,伊共第三粒圓仔嘛食食落去，那食閣那呵咾講：「Uah！我自出世到今毋捌食過遮爾芳的圓仔呢！」,"I kā tē-sann lia̍p înn-á mā tsia̍h-tsia̍h--lo̍h-khì, ná tsia̍h koh ná o-ló kóng: ""Uah! Guá tsū tshut-sì kàu-tann m̄-bat tsia̍h-kuè tsiah-nī phang ê înn-á--neh!""",11.72
ImTong/SuiSiann_0969.wav,賣圓仔的神仙,大頭仔王的食三粒圓仔，漢鍾離誠實無共伊提半仙錢。,"Tuā-thâu-á Ông--ê tsia̍h sann lia̍p înn-á, Hàn Tsing-lî tsiânn-si̍t bô kā i the̍h puànn sián tsînn.",6.89
ImTong/SuiSiann_0970.wav,賣圓仔的神仙,其他的人攏看甲誠欣羨，嘛圍倚來共漢鍾離挃三粒圓仔食。,"Kî-thann ê lâng lóng khuànn kah tsiânn him-siān, mā uî uá-lâi kā Hàn Tsing-lî ti̍h sann lia̍p înn-á tsia̍h.",7.55
ImTong/SuiSiann_0971.wav,賣圓仔的神仙,逐家為著欲食免錢的圓仔，毋管查埔、查某，攏想盡辦法共三粒大粒圓仔食落去。,"Ta̍k-ke uī-tio̍h beh tsia̍h bián-tsînn ê înn-á, m̄-kuán tsa-poo, tsa-bóo, lóng siūnn tsīn pān-huat kā sann lia̍p tuā lia̍p înn-á tsia̍h--lo̍h-khì.",10.4
ImTong/SuiSiann_0972.wav,賣圓仔的神仙,漢鍾離一直無停手咧舀圓仔予眾人食，目𥍉仔久niâ，規鼎圓仔就食甲空空囉！,"Hàn Tsing-lî it-ti̍t bô thîng-tshiú leh iúnn înn-á hōo tsìng-lâng tsia̍h, ba̍k-nih-á-kú niâ, kui tiánn înn-á tō tsia̍h-kah khang-khang--looh!",10.67
ImTong/SuiSiann_0973.wav,賣圓仔的神仙,「好矣，圓仔已經食了矣，今仔日就到遮為止囉！」漢鍾離按呢共逐家講。,"""hó--ah, înn-á í-king tsia̍h-liáu--ah, kin-á-ji̍t tō kàu tsia uî-tsí--looh!"" Hàn Tsing-lî án-ne kā ta̍k-ke kóng.",8.39
ImTong/SuiSiann_0974.wav,賣圓仔的神仙,「彼呔會使？我猶袂食著呢！」有人無歡喜咧大聲喝。,"""He thài ē-siah? Guá iáu bē tsia̍h--tio̍h--neh!"" Ū lâng bô huann-hí leh tuā-siann huah.",6.23
ImTong/SuiSiann_0975.wav,賣圓仔的神仙,「猶未食夠氣呢！」閣有人按呢講。,"""Iáu-buē tsia̍h kàu-khuì--neh!"" Koh ū lâng án-ne kóng.",3.56
ImTong/SuiSiann_0976.wav,賣圓仔的神仙,「恁誠實誠gâu食呢！我烰的圓仔攏總提出來賣ā，無食著的人明仔載才閣來囉！」漢鍾離有淡薄仔袂堪得煩。,"""Lín tsiânn-si̍t tsiânn gâu tsia̍h--neh! Guá phû--ê înn-á lóng-tsóng the̍h tshut-lâi bē ā, bô tsia̍h-tio̍h ê lâng bîn-á-tsài tsiah koh lâi--looh!"" Hàn Tsing-lî ū tām-po̍h-á bē-kham-tsit huân.",12.74
ImTong/SuiSiann_0977.wav,賣圓仔的神仙,「按呢明仔載敢仝款是一粒一角銀，兩粒兩角銀，三粒食免錢咧？」有人按呢問。,"""Án-ne bîn-á-tsài kám kâng-khuán sī tsi̍t lia̍p tsi̍t kak gîn, nn̄g lia̍p nn̄g kak gîn, sann lia̍p tsia̍h bián-tsînn--leh?"" Ū lâng án-ne mn̄g.",8.57
ImTong/SuiSiann_0978.wav,賣圓仔的神仙,「著ā！食三粒免錢啦！」漢鍾離按呢共伊應。,"""Tio̍h ā! Tsia̍h sann lia̍p bián-tsînn--lah!"" Hàn Tsing-lî án-ne kā i ìn.",4.91
ImTong/SuiSiann_0979.wav,賣圓仔的神仙,「足好的！閣有免錢的圓仔通食囉！頭家，你毋通講話無準算őo！明仔載一定愛來ōo！」逐家一聽漢鍾離答應矣，攏歡歡喜喜走囉！,"""Tsiok hó--ê! Koh ū bián-tsînn ê înn-á thang tsia̍h--looh! Thâu-ke, lí m̄-thang kóng-uē bô tsún-sǹg őo! Bîn-á-tsài it-tīng ài lâi ōo!"" Ta̍k-ke tsi̍t thiann Hàn Tsing-lî tah-ìng--ah, lóng huann-huann-hí-hí tsáu--looh!",15.35
ImTong/SuiSiann_0980.wav,賣圓仔的神仙,「唉！這一寡人有影痟貪，實在予我足失望！按呢看起來，明仔載愛攢閣較濟的圓仔，才有機會揣著我未來的徒弟。」漢鍾離那講那吐大氣。,"""Haih! Tsit tsi̍t-kuá lâng ū-iánn siáu-tham, si̍t-tsāi hōo guá tsiok sit-bōng! Án-ne khuànn--khí-lâi, bîn-á-tsài ài tshuân koh-khah tsē ê înn-á, tsiah ū ki-huē tshuē-tio̍h guá bī-lâi ê tôo-tē. "" Hàn Tsing-lî ná kóng ná thóo-tuā-khuì.",17.39
ImTong/SuiSiann_0981.wav,賣圓仔的神仙,隔轉工，漢鍾離共一大擔的圓仔，閣擔去昨昏賣圓仔的所在。逐家一下看著漢鍾離，攏挨挨𤲍𤲍、趕緊緊圍倚來。,"Keh-tńg-kang, Hàn Tsing-lî kā tsi̍t tuā tànn ê înn-á, koh tann-khì tsa-hng bē înn-á ê sóo-tsāi. Ta̍k-ke tsi̍t-ē khuànn-tio̍h Hàn Tsing-lî, lóng e-e-kheh-kheh, kuánn-kín-kín uî uá--lâi.",14.27
ImTong/SuiSiann_0982.wav,賣圓仔的神仙,「喂！頭家，我欲愛三粒！」,"""Ueh! Thâu-ke, guá beh ài sann lia̍p!""",2.6
ImTong/SuiSiann_0983.wav,賣圓仔的神仙,「我嘛仝款！」,"""Guá mā kāng-khuán!""",1.1
ImTong/SuiSiann_0984.wav,賣圓仔的神仙,「輪著我囉！三粒！較緊咧！」,"""Lûn-tio̍h guá--looh! Sann lia̍p! Khah kín--leh!""",2.93
ImTong/SuiSiann_0985.wav,賣圓仔的神仙,雖然免開錢就會當食著芳閣甜的圓仔，毋過逐家干焦顧搶niâ，根本攏袂記得愛共漢鍾離說多謝。,"Sui-liân bián khai-tsînn tō ē-tàng tsia̍h-tio̍h phang koh tinn ê înn-á, m̄-koh ta̍k-ke kan-na kòo tshiúnn niâ, kin-pún lóng bē-kì-tsit ài kā Hàn Tsing-lî sueh-to-siā.",12.77
