彼號嘿,hit-lō--heh
會用得,ē-īng-eh,ē-īng-tsit
報告矣,pò-kò--ah
嚴重,giâm-tiōng
感冒,kám-mōo
爾爾,niā-niā
重,tāng,tsiok,tîng
粉紅的,hún-âng--ê
抗生素,khòng-sing-sòo
一定,it-tīng
照起工,tsiàu-khí-kang
另外,līng-guā
退燒,thè-sio
予你,hōo--lí
點鐘,tiám-tsing
猶是,iá-sī,iáu-sī,iah-sī
無效,bô-hāu
代誌啦乎,tāi-tsì--lah--honnh
藥單,io̍h-tuann
健保卡,kiān-pó-khah
挈,khe̍h
爿,pîng,tsi̍t
樓梯,lâu-thui
行起去,kiânn--khí-lì
樓,lâu
阿瑞,a-suī
拜託你,pài-thok--lí
請假,tshíng-ká
曾的,tsan--ê
拜託,pài-thok
阿莊,a-tsng
失禮,sit-lé
直直,ti̍t-ti̍t
流鼻,lâu-phīnn
平,pênn
躼,lò
平平,pênn-pênn
五十,gōo-tsa̍p
khílooh,khí-looh
阿美仔,a-bí--á
平平仔,pênn-pênn-á
十八,tsa̍p-peh
倍,puē
用功,iōng-kong
成,siânn,tsiânn,sîng
歹心,pháinn-sim
大箍,tuā-khoo
目睭,ba̍k-tsiu,‘ba̍k-tsiu
阿姨,a-î
蕊,luí
心,sim,hōo,ê
遐爾,hiah-nī
冷,líng
烏面抐桮,oo-bīn-lā-pue
厝角鳥,tshù-kak-tsiáu
隻,tsiah,tsi̍t
苦楝舅,khóo-līng-kū
sakhúlah,sa-khú-lah
鹿仔樹,lo̍k-á-tshiū
樟仔,tsiunn-á
發,huat,tsiah,huat-hiān
密,ba̍t
電鍋炊,tiān-ko-tshue
gásuh爐,gá-suh-lôo
利便,lī-piān
駛車,sái-tshia
火車,hué-tshia
珊瑚礁,suan-ôo-tsiau
海草礁,hái-tsháu-ta
慢,bān
蛇龜,tsuâ-ku
走,tsáu
蛇,tsuâ
蚵仔,ô-á
螺仔,lê-á
魚仔,hî-á
軟絲仔,nńg-si-á
泅,siû
市仔,tshī-á
賣的,bē--ê
超市,tshiau-tshī
蝶仔,ia̍h-á
鳥仔,tsiáu-á
飛,pue,pe
遠,hn̄g,uán
馬仔,bé-á
羊仔,iûnn-á
豬仔,ti-á
牛,gû
其他,kî-thann
同學,tông-o̍h
行路,kiânn-lōo
花,hue,ū,hua
任何,jīm-hô
花草,hue-tsháu
位,uī
小姐,sió-tsiá
座,tsō
山,suann,san
差不多,tsha-put-to
公分,kong-hun
大姊,tuā-tsé,tuā-tsí
減,kiám
一屑仔,tsi̍t-sut-á
阿姊,a-tsé
精光,tsing-kong
siáng,siáng
緊張,kín-tiunn
貧惰,pîn-tuānn
小,sió,ê
學一下,o̍h--tsi̍t-ē,o̍h--tsı̍t-ē
阿安,a-an
阿發,a-huat
儉,khiām
阿秀仔,a-siù--á
阿嬌姨,a-kiau-î
阿成,a-sîng
兩光,lióng-kong
濟囉,tsē--looh
戲,hì
頭先的,thâu-sing--ê
悲傷,pi-siong
離緣,lī-iân
樂暢,lo̍k-thiòng
彼站,hit-tsām
這陣,tsit-tsūn
日子,ji̍t-tsí,li̍t-tsí
幸福咧,hīng-hok--leh
阿好,a-hó
阿財,a-tsâi
公斤,kong-kin
寒,kuânn,huah,hân
變,piàn,pìnn,leh
熱,lua̍h,huah,lia̍t,jua̍h
久,kú
一半,tsi̍t-puànn
老歲仔,lāu-huè-á,lāu-hè-á
贊聲的,tsàn-siann--ê
少年人,siàu-liân-lâng,siáu-liân-lâng
六十七,la̍k-tsa̍p-tshit
趁的,thàn--ê
了的,liáu--ê
母的,bú--ê
十一,tsa̍p-it
kâi,kâi
杯仔,pue-á
予伊,hōo--i
媽,ma̋,má,ma
爸,pa̋,pâ
賊仔,tsha̍t-á
偷提,thau-the̍h
九十八萬,káu-tsa̍p-peh-bān
阿水伯仔,a-tsuí-peh--á
三十,sann-tsa̍p
糖仔,thn̂g-á
六百,la̍k-pah
六十,la̍k-tsa̍p
收盤,siu-puânn
九千,káu-tshing
討,thó
三十三,sann-tsa̍p-sann
全聯,tsuân-liân
標仔,phiau-á
希望,hi-bāng
會赴,ē-hù
雙人牌,siang-lâng-pâi
刀仔,to-á
相輸,sio-su
千三,tshing-sann
遮的,tsia--ê,tsia-ê,tsiah-ê
百九,pah-káu
分開,hun-khui
算,sǹg
雙人,siang-lâng
套餐,thò-tshan
八百,peh-pah
食會起啦,tsia̍h-ē-khí--lah
四十九,sì-tsa̍p-káu
出山,tshut-suann
麵粉,mī-hún
斤半,kin-puànn
三層,sam-tsân
斤,kin
肉,bah
起,khí,ē
四百,sì-pah
悾的,khong--ê
過年,kuè-nî
把,pé
青菜,tshenn-tshài
一百喔,tsi̍t-pah--ooh
猶閣,iáu-koh
斗半,táu-puànn
米,bí
百萬,pah-bān
街頭,ke-thâu
抗議,khòng-gī
出來,tshut-lâi,tshut--lâi
三十捅,sann-tsa̍p-thóng
全國,tsuân-kok
十億捅,tsa̍p-ik-thóng
欉,tsâng
樹仔,tshiū-á
剉了了,tshò-liáu-liáu
發覺,huat-kak
原本,guân-pún
幾億,kuí-ik
幾兆,kuí-tiāu
尾,bué
了了,liáu-liáu
豬牢,ti-tiâu
六百外,la̍k-pah-guā
十幾外,tsa̍p-kuí-guā
票,phiò
當選矣,tòng-suán--ah
倒,tó,tò
幾若,kuí-nā,kuí-ā,kuí-lō
億呢,ik--neh
規氣,kui-khì
跳樓,thiàu-lâu
死死咧,sí-sí--leh
欠,khiàm
一二十萬,it-jī-tsa̍p-bān
立,li̍p
長短,tn̂g-té
一兩百外,tsi̍t-nn̄g-pah-guā
手頭,tshiú-thâu
夠,kàu
二三十,jī-sann-tsa̍p
箍銀,khoo-gîn
股市,kóo-tshī
三百萬,sann-pah-bān
凊彩,tshìn-tshái,tshìng-tshái
BOT,bot
案,àn
五千萬,gōo-tshing-bān
袂講得,bē-kóng-tit
厝內,tshù-lāi
喙,tshuì
飼,tshī
生鉎,senn-sian
討債,thó-tsè
電影票,tiān-iánn-phiò
Gásuh爐,gá-suh-lôo
一半擺仔,tsi̍t-puànn-pái-á
拭,tshit
油啦,iû--lah
根據,kin-kì
民意,bîn-ì
民眾,bîn-tsiòng
水,tsuí,suí
塑膠,sok-ka
表示,piáu-sī
意見,ì-kiàn
命,miā
陣,tīn,tsūn
鹿港,lo̍k-káng
點半,tiám-puànn
鐘,tsing
這站,tsit-tsām
出發,tshut-huat
下晡,ē-poo
點外,tiám-guā
嘉義,ka-gī
坐咧,tsē--leh,tsē-leh
䖙咧,the--leh
巡巡咧,sûn-sûn--leh
看著的,khuànn--tio̍h--ê
阿媽,a-má
出門,tshut-mn̂g
烏枋,oo-pang
有機的,iú-ki--ê
雖然,sui-liân,sui-jiân
想過,siūnn--kuè,siūnn-kuè
未來,bī-lâi
刣過,thâi-kuè
雞仔,ke-á
小妹,sió-muē
迒,hānn
溝仔,kau-á
回,huê
逃,tô
過啊,kuè--ah
料理,liāu-lí
百百款,pah-pah-khuán
拄著,tú-tio̍h
tueh,tueh
抾著,khioh-tio̍h,khioh--tio̍h
阿土伯,a-thóo-peh
阮的,gún--ê
像,tshiūnn,siōng
竟然,kìng-liân,kìng-jiân
影著,iánn-tio̍h
大兄,tuā-hiann
夢著,bāng-tio̍h
阿爸,a-pah,a-pa
四界,sì-kè
行來行去,kiânn-lâi-kiânn-khì
揣你,tshuē--lí
攑,gia̍h
按算,àn-sǹg
刣我,thâi--guá
劍,kiàm
刣人,thâi--lâng
走著,tsáu-tio̍h
寒著,kuânn--tio̍h
神明桌,sîn-bîng-toh
硞著的,kho̍k--tio̍h--ê
空喙,khang-tshuì
割割著的,kuah-kuah--tio̍h--ê
阿木仔,a-bo̍k--á
無呢,bô--neh
可能啦,khó-lîng--lah
娶,tshuā
經過,king-kuè
無意中,bô-ì-tiong
頭家娘,thâu-ke-niû
聽著,thiann-tio̍h,thiann--tio̍h
嫁矣,kè--ah
消息,siau-sit
牽的,khan--ê
喙仔,tshuì-á
裂獅獅,li̍h-sai-sai
歹勢,pháinn-sè,phái-sè
紅豆冰,âng-tāu-ping
愛的,ài--ê
相信,siong-sìn
奅,phānn
男朋友,lâm-pîng-iú
作者,tsok-tsiá
出名,tshut-miâ
冊店,tsheh-tiàm
唱片,tshiùnn-phìnn
銷路,siau-lōo
佳哉,ka-tsài
全部,tsuân-pōo
臆臆著,ioh-ioh--tio̍h
清明,tshing-bîng
阿萬仔,a-bān--á
喜酒,hí-tsiú
菜尾,tshài-bué
明年,mê-nî
花lian,hua-lian
盒,a̍p
餅,piánn
買轉去,bé--tńg-khì
紮轉去,tsah--tńg-khì
趕緊,kuánn-kín
行李,hîng-lí
寄寄轉去,kià-kià--tńg-khì
自按呢,tsū-àn-ne
褪褲𡳞,thǹg-khòo-lān
走走轉去,tsáu-tsáu--tńg-khì
轉來矣,tńg--lâi--ah
拜拜,pài-pài
多謝,to-siā
阿寶,a-pó
揣轉來,tshuē--tńg-lâi
獎品,tsióng-phín
走轉來,tsáu--tńg-lâi
阿達,a-ta̍t
倒轉來,tò-tńg--lâi,tó--tńg-lâi,tò-tńg-lâi
買買轉來,bé-bé--tńg-lâi
落飯,lo̍h-pn̄g
落肥,lo̍h-puî
顛倒,thian-tó,tian-tò
傷著,siong-tio̍h
根,kin
日頭,ji̍t-thâu
落海,lo̍h-hái
lue̋,lue̋
山跤,suann-kha
救人,kiù-lâng
這聲,tsit-siann
樓尾頂,lâu-bué-tíng
跋落,pua̍h--lo̍h
消落去,siau--lo̍h-khì
食一寡,tsia̍h--tsi̍t-kuá
山頂,suann-tíng
地,tè,tē,tē-ga̍k
落去,lo̍h-khì,lo̍h--khì
行行落去,kiânn-kiânn--lo̍h-khì
落去喔,lo̍h--khì--ooh
口,kháu,khió
恁爸,lín-pē
吞,thun
梯,thui
搬落來,puann--lo̍h-lâi
稻仔,tiū-á
割落來,kuah--lo̍h-lâi
阿騰,a-thîng
lua̋i,lua̋i
食飯啦,tsia̍h-pn̄g--lah
luaih,luaih
le,le
跳落來的,thiàu--lo̍h-lâi--ê
好膽,hó-tánn
拜過的,pài--kuè--ê
提提落來,the̍h-the̍h--lo̍h-lâi
出去,tshut--khì,tshut-khì
計程仔,kè-tîng-á,khè-tîng-á
歹人,pháinn-lâng
運,ūn
國外,kok-guā
飯,pn̄g
捀,phâng
飯廳,pn̄g-thiann
搬搬出去,puann-puann--tshut-khì
飛出來,pue--tshut-lâi
跳,thiàu
嚇驚,hennh-kiann
挔,hiannh
洗,sé
被單,phuē-tuann
曝曝咧,pha̍k-pha̍k--leh
走矣,tsáu--ah
聲,siann,ê
趕出來,kuánn--tshut-lâi
反反出來,píng-píng--tshut-lâi
搤搤出來,iah-iah--tshut-lâi
掖掖出來,iā-iā--tshut-lâi
罐,kuàn
倒倒出來,tò-tò--tshut-lâi
趕,kuánn
作文,tsok-bûn
水矣,tsuí--ah
一點仔,tsi̍t-tiám-á
認,jīn
阿火仔,a-hué--á
輪椅,lûn-í
開開,khui--khui,khui-khui
毋才,m̄-tsiah
客廳,kheh-thiann
為著,uī-tio̍h
前途,tsiân-tôo
盤,puânn,tsām
嶺,niá
喘,tshuán
過來,kuè-lâi
載,tsài
順紲,sīn-suà,sūn-suà
載你,tsài--lí
幌,hàinn
過去,kuè-khì,kè-khì,kuè--khì,kè--khì
胡蠅,hôo-sîn
門跤口,mn̂g-kha-kháu
踅,se̍h
阿娘喂,a-niâ-uê
後,āu,tī
電,tiān,kah,tiān-náu
同齊,tâng-tsê
起價,khí-kè
性地,sìng-tē
活欲,ua̍h-beh
惱死,lóo--sí
只要,tsí-iàu
永遠,íng-uán
看起來,khuànn--khí-lâi
嬈呢,hiâu--neh
若像,ná-tshiūnn
lìngòo,lìn-gòo
兩爿,nn̄g-pîng
起來,khit--lâi,khí-lâi,thūn--khí-lâi
拭一下,tshit--tsi̍t-ē
起來矣,khit--lâi--ah
同,tông
入,ji̍p
花園,hue-hn̂g
天地,thinn-tē
高堂,ko-tông
夫妻,hu-tshe
送入,sàng-ji̍p
洞房,tōng-pông
珠寶,tsu-pó
囥入去,khǹg--ji̍p-khì
跋入去,pua̍h--ji̍p-khì
倚來,uá--lâi,uá-lâi
客氣,kheh-khì
鉛線,iân-suànn
鉸鉸斷去,ka-ka--tn̄g-khì
過身去,kuè-sin--khì
阿好姨,a-hó-î
過去矣,kuè--khì--ah
La̋i,la̋i
唱歌,tshiùnn-kua
電影院,tiān-iánn-īnn
那,ná
透早,thàu-tsá
便當,piān-tong
捾,kuānn,tō
阿公,a-kong
tshuā,tshuā
菜市仔,tshài-tshī-á
時間,sî-kan
走來,tsáu-lâi
錢包仔,tsînn-pau-á
想來想去,siūnn-lâi-siūnn-khì
米糕出來,bí-ko--tshut-lâi
落來,lo̍h--lâi,lo̍h-lâi
歇睏,hioh-khùn
信無,sìn--bô
應喙應舌,ìn-tshuì-ìn-tsi̍h
tainn,tainn
祖媽,tsóo-má
㧌,mau
烏青,oo-tshenn
會曉矣,ē-hiáu--ah
海裡,hái--lí
枵死,iau--sí
驚死,kiann--sí
氣死,khì-sí
拚暝工,piànn-mê-kang
tsőng,tsőng
忝死,thiám--sí
甘願呢,kam-guān--nih
總,tsóng
拍斷,phah-tn̄g
手骨,tshiú-kut
勇,ióng
拍開,phah--khui
掀掀開,hian-hian--khui
布,pòo
掀,hian
捙倒矣,tshia--tò--ah
捙倒,tshia-tó
捙,tshia
桌頂矣啦,toh-tíng--ah--lah
湯,thng
huêhuê倒,huê-huê--tó
食兩碗仔,tsia̍h--nn̄g-uánn-á
啉幾杯仔,lim--kuí-pue-á
愛的呢,ài--ê--neh
為啥物,uī-siánn-mi̍h,uī-siánn-mih
擲掉,tàn-tiāu
收擔,siu-tànn
厝矣,tshù--ah
掉,tiāu
害去,hāi--khì
電火球仔,tiān-hué-kiû-á
抨抨掉,phiann-phiann--tiāu
日語,ji̍t-gí
外來詞,guā-lâi-sû
蔡,tshuà
俊,tsùn-kia̍t
alúmih,a-lú-mih
鼎,tiánn,ê
輕,khin
alúmih仔,a-lú-mih-á
便所,piān-sóo
清氣,tshing-khì
amóoníá味,a-móo-ní-á
的ő,tāng--ê
o,őo
Aníkhih你,a-ní-khih
按,lí,khí
呢講,án-ne
查,lán
埔人的,tsa-poo-lâng
口呢,khuì-kháu--neh
疼,thiànn
asírphílín看,a-sír-phí-lín
淡水,tām-tsuí
ágeh,á-geh
misooh,mi-sooh
等一下,tán--tsi̍t-ē
舅公,kū-kong
a̋isattsuh一下,a̋i-sat-tsuh--tsi̍t-ē
熱人,lua̍h--lâng
aisi̍rhkhulìnmù的,ai-si̍rh-khu-lìn-mù
銷,ê
路蓋,siau-lōo
ànnāi一下,àn-nāi--tsi̍t-ē
訂婚,tīng-hun
桌乎,toh--honnh
同窗,tông-tshong
ànnāi,àn-nāi
位仔,uī-á
Oô,oô
a̍hsálih的,a̍h-sá-lih--ê
個性,kò-sìng
àutsuh的,àu-tsuh--ê
鐵釘仔,thih-ting-á
釘,tìng
歪去矣,uai--khì--ah
báluh,bá-luh
撬,kiāu
水尾,tsuí-bué
𨑨迌,tshit-thô,thit-thô
básuh,bá-suh
二十幾,jī-tsa̍p-kuí
租,tsoo
battah,bat-tah
𩛩,kauh
sio̍kpháng,sio̍k-pháng
肥朒朒,puî-tsut-tsut,puî-lut-lut
baióolín,bai-óo-lín
演奏,ián-tsàu
首,siú
欣賞無,him-sióng--bô
水果,tsuí-kó
菇,koo
長乎,tn̂g--honnh
ba̋ikhún,ba̋i-khún
毋好,m̄-hó
食矣,tsia̍h--ah
果子,kué-tsí,ké-tsí
ba̋ikhín,ba̋i-khín
濟的,tsē--ê
拍咳啾,phah-ka-tshiùnn
掩咧,om--leh,am--leh
őo,őo
若無,nā-bô
掩,am,lâi
牢,tiâu
bakkuh,bak-kuh
後壁,āu-piah
人無,lâng--bô
車禍,tshia-hō
bànbà,bàn-bà
bàngkà,bàng-kà
開始矣,khai-sí--ah
鄭,tēnn
藝術,gē-su̍t
價值的,kè-ta̍t--ê
歡迎,huan-gîng
故宮,kòo-kiong
欣賞,him-sióng
電動車乎,tiān-tōng-tshia--honnh
振動,tín-tāng
無電,bô-tiān
充電一下,tshiong-tiān--tsi̍t-ē
恐kia̋nn,khióng-kia̋nn
舞,bú
huê,huê
bitábín,bi-tá-bín
熱人乎,lua̍h--lâng--honnh
冰涼,ping-liâng
bìlù啉,bì-lù
涼,sim,liâng
脾,liâng
土開,pî-thóo
Tsa̋ng,tsa̋ng
看的,khuànn--ê
boksìngù才,bok-sìn-gù
始無,khai-sí
偌久就,bô-guā-kú
手KO,tuì-tshiú
去矣,ko--khì--ah,khì--ah
奇怪,kî-kuài
投手,tâu-tshiú
bòolù,bòo-lù
少女,siàu-lú
bulàjià,bu-là-jià
lèsìr,lè-sìr
lèsù,lè-sù
規身軀,kui-sing-khu
油,iû
噴,phùn
糋,tsìnn
epúlóng,e-pú-lóng
番薯,han-tsî
毋驚,m̄-kiann
看ma̋i,khuànn-ma̋i
ootóobái,oo-tóo-bái
gasóolín,ga-sóo-lín
味,bī
重呢,tāng--neh
夭壽喔,iáu-siū--ooh
gásuh,gá-suh
起價矣,khí-kè--ah
走出來,tsáu--tshut-lâi
gásuh味,gá-suh-bī
到今,kàu-tann
猶有,iáu-ū
彈,tuânn
gìtà,gì-tà
giāng,giāng
jia̋ngkín,jia̋ng-kín
食飯,tsia̍h-pn̄g
Gōobōo,gōo-bōo
柯,kua
粗絲,tshoo-si
助,tsōo
消化,siau-huà
食一點仔,tsia̍h--tsi̍t-tiám-á
Goolúhuh,goo-lú-huh
高級,ko-kip
運動,ūn-tōng
Koníkiû,ko-ní-kiû
粗本,tshoo-pún
Hámuh,há-muh
食的,tsia̍h--ê
今,tann,ū
ha̋ikhékhákuh,ha̋i-khé-khá-kuh
傷過,siunn-kuè
病,pīnn,pēnn
hàiià,hài-ià
烏頭仔車啦,oo-thâu-á-tshia--lah
食桌乎,tsia̍h-toh--honnh
siattooh,siat-tooh
háikatlá,hái-kat-lá
食桌,tsia̍h-toh
頭毛店,thâu-moo-tiàm,thâu-mn̂g-tiàm
siattoohs,siat-tooh
iattooh咧,siat-tooh--leh
háikatlá頭,hái-kat-lá-thâu
落雨天乎,lo̍h-hōo-thinn--honnh
滑滑,ku̍t-ku̍t
ha̋ntóoluh,ha̋n-tóo-luh
掠,lia̍h,lâi,koh
絚,ân
裝潢,tsong-hông
hinóokhih的,hi-nóo-khih--ê
蟲,thâng
蛀,tsiù
上無,siōng-bô
擋,tòng
一二十,it-jī-tsa̍p
都,to
無問題啦,bô-būn-tê--lah
雞皮,ke-phuê
食啦,tsia̍h--lah
hoolúbóng,hoo-lú-bóng
厚,kāu
遊客,iû-kheh
hoothéluh,hoo-thé-luh
強欲,kiông-beh,kiōng-beh
燒水,sio-tsuí
húlooh桶,hú-looh-tháng
滇,tīnn
浸一下,tsìm--tsi̍t-ē
ia̋njín聲,ia̋n-jín-siann
修理一下,siu-lí--tsi̍t-ē
花蓮,hua-liân
玉里,gio̍k-lí
iőkáng,iő-káng
有名的,ū-miâ--ê
適合,sik-ha̍p
伴手,phuānn-tshiú
準備,tsún-pī
ióbih的,ió-bih--ê
無夠,bô-kàu
連鞭,liâm-mi
來矣,lâi--ah
ióbih,ió-bih
iúlih,iú-lih
芳,phang,toh
tsilúpah,tsi-lú-pah
踅來踅去,se̍h-lâi-se̍h-khì
楞楞,gông-gông
吐,thóo,thòo
翁仔某,ang-á-bóo
jilúbah,ji-lú-bah
jiakkuh,jiak-kuh
misín,mi-sín
別,pa̍t
天氣,thinn-khì
冷矣,líng--ah
疊,tha̍h,thia̍p,lâng
jiànbà,jiàn-bà
jiótoh的,jió-toh--ê
â,â
khabáng,kha-báng
整理,tsíng-lí
天,thinn,thian-tông
光,kng
阿兄,a-hiann
早頓,tsá-tǹg
紮咧,tsah--leh
揹咧,phāinn--leh
踅街,se̍h-ke
阿傑,a-kia̍t
ha̋ntóopákuh,ha̋n-tóo-pá-kuh
練,liān
方法,hong-huat
khaláóokhe,kha-lá-óo-khe
面頭前,bīn-thâu-tsîng
奢颺一下,tshia-iānn--tsi̍t-ē
khamélah,kha-mé-lah
canon的,canon--ê
khalóng的,kha-lóng--ê
khatálokguh,kha-tá-lok-guh
透中晝乎,thàu-tiong-tàu--honnh
當,tng,tang
猛,mé,bíng
khatián,kha-tián
搝起來,giú--khí-lâi
khàsàng,khà-sàng
灶跤,tsàu-kha
khàtsiàng,khà-tsiàng
做到,tsò-kàu
算是,sǹg-sī
kha̋njióo矣,kha̋n-jióo--ah
謼,hooh
畫,uē
塊,tè,tsi̍t
kha̋ngpáng,kha̋ng-páng
特別,ti̍k-pia̍t,tı̍k-pia̍t
罕得,hán-tit
khetsiappuh,khe-tsiap-puh
炒,tshá
紅嬰仔,âng-enn-á
khimóotsih,khi-móo-tsih
好空的,hó-khang--ê
聽一下,thiann--tsi̍t-ē
心肝的,sim-kuann--ê
欺負你啊,khi-hū--lí--ah
市區,tshī-khu
豐田乎,hong-tiân--honnh
二十二,jī-tsa̍p-jī
遐的,hia-ê
政治,tsìng-tī
人物,jîn-bu̍t
報,pò,pò-kò
khiűkhé,khiű-khé
阿基師,a-ki-sai
tsang著,tsang--tio̍h
段,tuānn
hoothéluhkh,hoo-thé-luh
iűkhé一下,khiű-khé--tsi̍t-ē
啉,lim
茶,tê
khokpuh,khok-puh
當咧,tng-leh,tng-teh
埋,tâi
水管,tsuí-kóng
好勢,hó-sè
鞏,khōng
khōngkulí,khōng-ku-lí
修,siu
修理,siu-lí
鋪,phoo
khòngbuh湯,khòng-buh-thng
媽媽,ma-ma,má-mah
𤉙湯,kûn-thng
khòngbuh,khòng-buh
mísooh,mí-sooh
著味的,tio̍h-bī--ê
khoolélah矣,khoo-lé-lah--ah
建設,kiàn-siat
官員,kuann-uân,kuann-guân
oosei,oo-se
n,in
董的,táng--ê
hőng,hőng
關起來矣,kuainn--khí-lâi--ah
𤆬團,tshuā-thuân
khoomísióng,khoo-mí-sióng
提著,the̍h-tio̍h
khoomísióng乎,khoo-mí-sióng--honnh
khòotòo,khòo-tòo
在生,tsāi-senn
手排的,tshiú-pâi--ê
khulátsih,khu-lá-tsih
才調,tsâi-tiāu
khulìmù面,khu-lì-mù
必,bē,pit-pit
反寒,huán-kuânn
寡,kuá
ha,bē
uhau,hau-hau
pháng,pháng
餡,ānn
khulìmù的,khu-lì-mù--ê
囡仔人,gín-á-lâng
khulìmù,khu-lì-mù
燒燒,sio-sio
穩,ún
時行,sî-kiânn
lajíooh,la-jí-ooh
少矣,tsió--ah
招,tsio
拍球,phah-kiû
lakiattooh,la-kiat-tooh
件,kiānn,mi̍h-kiānn
la̋ijiòobù矣,la̋i-jiòo-bù--ah
安啦,an--lah
佇咧,tī--leh,tī-leh
la̋ijiòobù啦,la̋i-jiòo-bù--lah
查埔人,tsa-poo-lâng,ta-poo-lâng
la̋ilìngù,la̋i-lìn-gù
香,hiunn
làitah,lài-tah
食薰,tsia̍h-hun
làitah無,lài-tah--bô
檸檬,lê-bóng
cosplay,cosplay
lèsìr的,lè-sìr--ê
liákhah,li-á-khah
頂懸,tíng-kuân
古早人,kóo-tsá-lâng
lia̋ntáng,lia̋n-táng
起火,khí-hué,khí-hé
Li̋njín,li̋n-jín
幫助,pang-tsōo
li̋njín,li̋n-jín
較早,khah-tsá
貴參參,kuì-som-som
叫做,kiò-tsò
五爪,gōo-jiáu
lìngòo是,lìn-gòo
重的,kuì-tiōng
物,ê,mi̍h
loolàibà,loo-lài-bà
捘,tsūn
lòosuh,lòo-suh
筍絲,sún-si
著味,tio̍h-bī
猶原,iû-guân,iu-guân
lóolíá,lóo-lí-á
lóolíá出,lóo-lí-á
門是,tshut-mn̂g
失,tsin,sit
禮的,sit-lé
代,ê,tāi,tāi-tsì
誌,tāi-tsì
拍寒拍熱,phah-kuânn-phah-lua̍h
malálíá,ma-lá-lí-á
Sia̋nsé伊,sia̋n-sé
鞭喝,liâm-mi
malál,tio̍h
íá,ma-lá-lí-á
減肥,kiám-puî
malásóng會,ma-lá-sóng
死,ē,sí
masátsì一下,ma-sá-tsì--tsi̍t-ē
hông,hông
masàtsì一下,ma-sà-tsì--tsi̍t-ē
價數,kè-siàu
一般,it-puann
masàtsì,ma-sà-tsì
阿伯,a-peh
màikù,mài-kù
上台,tsiūnn-tâi
阿桑,a-sáng
見擺,kiàn-pái
癮,giàn
是乎,sī--honnh
棄嫌,khì-hiâm
melíá枋lue̋,me-lí-á-pang
潢,tsong-hông
潢就,tsong-hông
矣,suí--ah
melóng,me-lóng
大出矣,tuā-tshut--ah
買一點仔,bé--tsi̍t-tiám-á
買一屑仔,bé--tsi̍t-sut-á
mèsì面,mè-sì
頂有,bīn-tíng
公,gún,kong
司的,kong-si
住,ê
址佮,tsū-tsí
物件出來,mi̍h-kiānn--tshut-lâi
試,tshì
鹹汫,kiâm-tsiánn
mòotà,mòo-tà
淡薄仔,tām-po̍h-á
歇睏一下,hioh-khùn--tsi̍t-ē
紡,pháng
歹去,pháinn--khì
其實,kî-si̍t
na̋ilóng,na̋i-lóng
正式,tsìng-sik
所在,sóo-tsāi
掛,kuà
nekuttái,ne-kut-tái
nőosín,nőo-sín
nóolih,nóo-lih
麻仔,muâ-á
芳呢,phang--neh
Oobásáng,oo-bá-sáng
Oojísáng,oo-jí-sáng
慢咧,bān--leh
清楚,tshing-tshóo,tshing-tshó
Seveneleven,seven-eleven
oolián,oo-lián
仙,sian,sián
oolíngióo,oo-lín-gióo
媠媠媠,suí-suí-suí
貴呢,kuì--neh
Oonèsàng,oo-nè-sàng
歹,pháinn,tsin
坐落來,tsē--lo̍h-lâi
講啦乎,kóng--lah--honnh
Ootóobái,oo-tóo-bái
平常,pîng-siông
交通,kau-thong
工具,kang-khū,kang-kū
袂曉,bē-hiáu
ootóobái的,oo-tóo-bái--ê
大寒矣,tuā-kuânn--ah
òobà,òo-bà
Phatsìnkòo,pha-tsìn-kòo
流行,liû-hîng
Tsiookóolètòo乎,tsioo-kóo-lè-tòo--honnh
選,suán
七十五,tshit-tsa̍p-gōo
pha̋siàntooh,pha̋-siàn-tooh
以上的,í-siōng--ê
市長,tshī-tiúnn
候選人,hāu-suán-jîn
柯P,ㄎㄜ-p
支持度,tsi-tshî-tōo
pháng店,pháng-tiàm
敢是,kám-sī
阿沙不魯,a-sa-puh-luh
化學,huà-ha̍k
藥品,io̍h-phín
跤踏車,kha-ta̍h-tshia
phàngkù矣,phàng-kù--ah
補,póo
內胎,lāi-thai
phiánooh,phi-á-nooh
基本,ki-pún
Siáng,siáng
phiàntsih,phiàn-tsih
釘仔,ting-á
鋏,giap
phi̋nphóng,phi̋n-phóng
Phi̋nphóng,phi̋n-phóng
phòngpù,phòng-pù
phàngphù,phàng-phù
直升機,ti̍t-sing-ki
phulóophélá開,phu-lóo-phé-lá
始咧,khai-sí
矣咱,tńg--ah
閃,ài,â,siám
咧才,khui--leh
危,ū
險,huî-hiám
風颱天,hong-thai-thinn
peh山,peh-suann
揣無,tshuē-bô
地方,tē-hng,tē-hong
派,phài
phulóophélá緊,phu-lóo-phé-lá
學的,o̍h--ê
正派,tsìng-phài
pulùsù跳,pu-lù-sù
跳的,thiàu--ê
pulùsù,pu-lù-sù
Sakhálíbah,sa-khá-lí-bah
點心,tiám-sim
重淡薄仔,tāng--tām-po̍h-á
蚵仔煎,ô-á-tsian
棺柴枋,kuann-tshâ-pang
日本,ji̍t-pún
開的,khui--ê
彼當陣,hit-tang-tsūn
坪,phiânn,phênn
紅記記,âng-kì-kì
sasímih,sa-sí-mih
時,sî,ê,sî-kan
搵,ùn
uasábih,ua-sá-bih
豆油,tāu-iû
招待的,tsiau-thāi--ê
